stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening D:\Documents\Mini2\game\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.08619] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08620] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08621] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08622] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08623] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08624] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08625] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08626] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08627] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08628] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08629] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08630] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08631] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08632] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08633] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08634] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08635] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08636] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08637] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08638] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08639] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08640] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08641] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08642] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08643] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08644] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08645] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08646] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08647] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08648] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08649] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08650] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08651] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08652] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08653] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08654] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08655] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08656] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08657] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08658] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08659] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08660] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08661] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08662] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08663] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08664] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08665] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08666] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08667] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08668] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08669] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08670] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08671] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08672] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08673] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08674] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08675] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08676] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08677] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08678] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08679] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08680] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08681] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08682] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08683] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08684] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08685] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08686] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08687] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08688] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08689] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08690] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08691] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08692] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08693] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08694] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08695] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08696] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08697] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08698] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08699] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08700] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08701] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08702] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08703] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08704] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08705] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08706] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08707] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08708] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08709] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08710] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08711] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08712] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08713] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08714] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08715] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08716] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.08717] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08718] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.08719] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08720] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.08721] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08722] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.08723] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08724] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08725] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08726] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08727] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08728] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08728] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08729] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08730] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08731] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08732] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08733] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.08734] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08735] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.08736] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08737] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.08738] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08739] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.08740] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08741] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08742] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08743] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08745] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08746] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08748] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08749] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08750] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08752] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08752] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08753] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.08754] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08755] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.08756] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08757] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.08758] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08759] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.08760] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08761] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08762] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08763] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08764] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08765] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08766] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08767] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08768] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08769] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08770] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08771] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.08772] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08773] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.08774] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08775] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.08776] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08777] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.08778] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08779] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08780] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08781] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08782] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08783] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08784] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08785] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08786] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08787] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08788] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08789] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.08790] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08791] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.08792] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08793] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.08795] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08796] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.08797] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08798] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08800] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08801] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08802] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08803] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08803] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08804] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08805] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08807] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08808] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08809] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.08810] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08811] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.08812] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08813] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.08813] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08814] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.08815] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08816] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08817] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08818] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08819] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08820] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08821] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08822] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08823] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08824] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08825] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08826] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.08827] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08828] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.08829] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08830] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.08831] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08832] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.08833] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08834] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08835] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08836] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.08837] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08838] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.08839] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08840] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.08841] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08842] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.08843] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08844] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.08845] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08846] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.08847] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08848] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.08849] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08850] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.08851] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08852] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08853] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08854] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08855] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08856] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08857] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08858] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08859] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08860] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08861] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08862] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08862] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08864] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08864] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08865] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08866] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08867] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08868] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08873] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08874] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08875] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08876] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08877] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08878] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08879] Single Buffer requirement not met.
